nodename,batch,solution,version,git,task,data,timestamp,action,stderr,ret,machine_type
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e2_0_0,1755598804.99811,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e2_0_0,1755598807.84595,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e1_0_0,1755598822.86124,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e1_0_0,1755598825.91766,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_2e0_0_0,1755598840.93295,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_2e0_0_0,1755598844.18551,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e2_0_1,1755598859.20082,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e2_0_1,1755598861.90398,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e2_5_0,1755598876.9191,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,groupby,G1_1e7_1e2_5_0,1755598880.05158,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,join,J1_1e7_NA_0_0,1755598895.06689,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,join,J1_1e7_NA_0_0,1755598898.2628,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,join,J1_1e7_NA_5_0,1755598913.27808,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,join,J1_1e7_NA_5_0,1755598916.73269,finish,0,0,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,join,J1_1e7_NA_0_1,1755598931.74782,start,,,c6id.metal
ip-172-31-35-156,1755598804,chdb,3.5.0,,join,J1_1e7_NA_0_1,1755598934.94118,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e2_0_0,1755598967.28053,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e2_0_0,1755598980.06527,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e1_0_0,1755598995.08058,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e1_0_0,1755599009.5448,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_2e0_0_0,1755599024.56008,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_2e0_0_0,1755599041.2286,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e2_0_1,1755599056.24395,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e2_0_1,1755599068.42208,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e2_5_0,1755599083.43738,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,groupby,G1_1e8_1e2_5_0,1755599099.95078,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,join,J1_1e8_NA_0_0,1755599114.96608,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,join,J1_1e8_NA_0_0,1755599134.4643,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,join,J1_1e8_NA_5_0,1755599149.47945,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,join,J1_1e8_NA_5_0,1755599171.20939,finish,0,0,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,join,J1_1e8_NA_0_1,1755599186.22466,start,,,c6id.metal
ip-172-31-35-156,1755598966,chdb,3.5.0,,join,J1_1e8_NA_0_1,1755599205.59246,finish,0,0,c6id.metal
